H,H,G1,G1,H,H,G1,G1,H,H,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1r,G2,G2,H,H,G2,G2,H,H,G3,G3,H,H,G4,G4,H,H,G5,G5,H,H,G6,G6,P0,P0,G0,G0,G0,G0
H,H,G1,G1,H,H,G1,G1,H,H,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1r,G2,G2,H,H,P0,G2,H,H,G3,G3,H,H,G4,G4,H,H,G5,G5,H,H,G6,G6,P0,P0,G0,W0,W0,G0
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1r,G2,G2,G2,G2,P0,G2,G3l,P0,G3,G3,G4l,P0,G4,G4,G5l,P0,G5,G5,G6l,P0,G6,G6,P0,P0,G0,W0,W0,G0
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1r,G2,G2,G2,G2,P0,G2,G3l,P0,G3,G3,G4l,P0,G4,G4,G5l,P0,G5,G5,G6l,P0,G6,G6,P0,P0,G0,G0,G0,G0
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
G1,G1,G1,G1,H,H,H,H,G1,G1,G1,G1,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
G1,G1,H,H,H,H,H,H,H,H,P0,P0,P0,P0,G1,G1,G1,G1,G1,G1r,G0,G0,P0,P0,G9lt,G9t,H,H,H,H,G9t,G9rt,G8t,G8t,H,H,H,H,H,H,G8t,G8t,P0,P0,G7,G7,H,H
G1,G1,H,H,H,H,H,H,H,H,H,P0,P0,P0,G1,G1,G1,G1,G1,G1r,G0,G0,P0,P0,G9l,G9,H,H,H,H,G9,G9r,G8,G8,H,H,H,H,H,H,G8,G8,P0,P0,G7,G7,H,H
G1,G1,H,H,H,H,H,H,H,H,H,P0,P0,P0,G1,G1,G1,G1,G1,G1r,G0,G0,P0,P0,G9l,G9,H,H,G9,G9,G9,G9r,G8,G8,G8,G8,H,H,H,H,G8,G8r,P0,P0,G7,G7,H,H
G1,G1,H,H,H,H,H,H,H,H,P0,P0,P0,P0,G1,G1,G1,G1,G1,G1r,G0,G0,P0,P0,G9l,G9,H,H,G9,P0,G9,G9r,G8,G8,G8,P0,H,H,H,H,G8,G8r,P0,P0,P0,P0,H,H
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1r,G0,G0,P0,P0,G9l,G9,G9,G9,P0,P0,G9,G9r,G8,G8,P0,P0,G8,G8,G8,G8,G8,G8r,P0,P0,G7,G7,G7,G7
G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1b,G1rb,G0,G0,P0,P0,G9lb,G9b,G9b,G9b,P0,P0,G9b,G9rb,G8b,G8b,P0,P0,G8b,G8b,G8b,G8b,G8b,G8rb,P0,P0,G7,G7,G7,G7
P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0
G10t,G10t,G10t,G10rt,P0,P0,G11lt,G11t,H,H,G11t,G11t,P0,G11rt,G12t,G12t,G12t,P0,P0,G12t,G12t,G12rt,P0,P0,G13lt,G13t,G13t,G,G,G13t,G13t,G13t,G14lt,G14t,G14t,G14t,G,G,G14t,G14t,G14t,G14rt,P0,P0,G15,G15,G15,G15
